"";"classe 1";"classe 2";"classe 3";"classe 4"
"autrefois";-1,087;0,038;0,188;0,21
"assez";-1,087;0,038;-0,889;3,408
"59";2,478;-1,186;0,188;-0,864
"52";-1,087;-1,186;-0,889;10,458
"45";0,071;-1,186;-0,889;3,408
"26";8,308;-1,186;-0,889;-0,864
"23";0,071;-1,186;0,188;0,21
"19";8,308;-1,186;-0,889;-0,864
"100";-1,087;-1,186;10,161;-0,864
"*pers_Bourbon-Busset-Jacques-Louis-Robert-Marie";-5,499;0,001;-8,412;28,889
"*date_1952-02-01";-10,283;14,646;-0,654;0,006
"*pers_Westrick-Ludger";49,209;-13,416;-5,454;-1,265
"*pers_Marjolin-Robert-Ernest";0,957;-2,773;-2,078;4,914
"*date_1950-12-4";2,499;-48,076;148,819;-41,888
"*pers_Blamont-Emile";0,144;-13,674;-5,647;35,908
"*date_1950-12-6";0,141;-0,401;-1,78;2,66
"*pers_Valéry-François";6,122;-6,772;-5,076;6,057
"*date_1950-12-3";-0,724;-0,79;-0,592;6,968
"*date_1947-10-02";-8,315;-5,693;-4,319;59,816
"*location_atlantique";-47,451;164,909;-3,682;-21,625
"*date_1947-10-04";-4,37;-4,767;-3,573;42,042
"*pers_Adenauer-Konrad";23,542;3,571;-74,712;2,315
"*pers_Colin-André";-1,087;-1,186;-0,889;10,458
"*pers_Bacon-Paul";-0,248;-15,73;-5,182;50,596
"*date_1951-05-18";-2,178;-2,375;-0,13;12,925
"*pers_Plowden-Edwin-Noel";-6,729;7,208;-1,071;0,793
"*pers_Labbé-Roland-Georges-Joseph-Marie";-3,025;-2,447;0,512;7,929
"*location_usa";-1,625;-0,012;99,076;-73,313
"*date_1950-09-28";5,696;0,029;-3,648;-0,625
"*pers_Schneiter-Pierre";-3,025;34,946;-6,219;-4,146
"*location_bonn";0,076;-0,055;-27,027;27,047
"*date_1951-05-15";-2,542;-0,68;-2,078;16,288
"*pers_Ferry-Jacques";-3,025;-2,447;0,512;7,929
"*pers_Marshall-George-Catlett";-30,823;-18,795;25,701;29,905
"*pers_Spierenburg-Dirk-Pieter";3,318;-7,962;-6,797;14,047
"*location_pays-bas";7,274;-50,112;146,092;-54,55
"*pers_Saxon-James-Joseph";-4,003;-4,367;-3,273;38,516
"*pers_Hommel-Nicolas";-3,272;-3,569;-2,675;31,478
"*pers_Ramadier-Paul";-22,34;-17,844;8,57;43,984
"*location_ruhr";70,6;-56,117;7,929;-13,301
"*date_1952-03-19";-7,278;46,474;-9,29;-2,076
"*date_1952-02-15";10,294;-5,567;-0,584;-0,006
"*location_norvège";-0,013;5,341;-4,117;-0,111
"*location_genève";15,297;-3,171;-2,376;-0,447
"*pers_Serrarens-Petrus";12,222;-5,167;-3,873;0,539
"*date_1950-11-28";-3,272;-3,569;-2,675;31,478
"*pers_François-Poncet-André";2,348;4,764;-8,265;-1,185
"*date_1951-03-24";-1,107;-3,569;-2,675;23,117
"*date_1952-02-18";-1,637;-0,086;10,241;-2,405
"*date_1948-04-18";-14,042;1,399;0,016;6,587
"*date_1950-10-14";-1,019;30,505;-9,636;-3,15
"*date_1949-10-30";-0,355;30,666;-4,379;-10,557
"*date_1951-01-6";0,027;-10,003;-3,163;25,401
"*date_1952-07-29";14,561;-5,567;-4,173;0,318
"*pers_Pilotti-Massimo";-1,927;-0,959;-5,076;23,06
"*date_1952-07-23";3,898;-1,316;-2,675;0,633
"*date_1952-07-22";0,79;-6,11;-9,942;24,098
"*date_1952-06-28";93,581;-19,476;-16,089;-2,086
"*date_1950-12-22";0,738;0,449;-3,648;0,084
"*pers_Bruce-David";7,26;0;-13,388;0,676
"*pers_Ophuels-Carl-Friedrich";0,119;0,04;-3,873;1,967
"*date_1952-01-6";-0,005;-0,021;-1,186;1,771
"*location_lisbonne";-3,183;4,38;4,675;-6,506
"*date_1950-12-28";4,075;-8,788;-4,225;9,841
"*location_belgique";6,681;-49,551;132,634;-45,361
"*pers_Van-Helmont-Jacques";21,572;-7,803;-0,959;-0,843
"*date_1952-06-26";-1,087;-1,186;-0,889;10,458
"*date_1951-01-17";4,443;-2,011;-0,135;-0,109
"*location_russie";0;7,087;-4,522;-0,563
"*location_pologne";0;7,087;-4,522;-0,563
"*location_bordeaux";-6,208;-0,959;3,282;3,519
"*pers_Blum-Léon";-8,315;-5,693;-4,319;59,816
"*location_paris";0,107;1,497;-54,436;33,248
"*pers_Gouin-Félix";-4,003;-4,367;-3,273;38,516
"*pers_McCloy-Jonh-Jay";25,454;-0,985;-31,625;1,933
"*pers_Baraduc-Pierre-Jacques";-3,415;0,675;-0,977;4,275
"*date_1950-11-30";21,572;-7,803;-0,959;-0,843
"*location_benelux";2,59;2,663;19,007;-61,884
"*pers_Auriol-Vincent";-4,003;-4,367;-3,273;38,516
"*location_sarre";23,416;-17,929;-22,062;17,488
"*location_grande-bretagne";-2,149;0,365;88,628;-73,732
"*pers_Reynaud-Paul";-3,272;-1,316;-2,675;23,117
"*date_1948-05-10";-6,208;-0,959;3,282;3,519
"*pers_Philip-André";-3,272;-1,316;-2,675;23,117
"*pers_Bevin-Ernest";-10,139;78,272;-11,601;-7,615
"*pers_Finet-Paul-C.E.";-1,087;0,038;-0,889;3,408
"*date_1951-05-8";1,695;-0,401;-1,78;0,421
"*date_1950-09-9";-11,785;50,512;-5,081;-3,15
"*date_1951-10-10";15,297;-3,171;-2,376;-0,447
"*pers_Passe-Georges";-3,025;-2,447;0,512;7,929
"*pers_Maud'Huy-Bertrand-de";-1,087;-1,186;0,188;3,408
"*pers_Massigli-René";-2,225;0,228;-5,377;11,582
"*pers_Mollet-Guy";1,31;-25,724;-15,438;67,77
"*pers_Hoffman-Paul-Gray";-14,042;1,399;0,016;6,587
"*pers_Valay-Gabriel";-2,39;2,059;1,818;-1,616
"*location_moselle";-2,178;-2,375;-0,13;12,925
"*date_1951-01-22";25,474;-9,1;-0,261;-2,482
"*date_1951-02-3";9,194;-8,718;-7,379;7,375
"*date_1951-01-27";-0,087;-0,164;-2,675;5,762
"*date_1951-02-7";0,464;-1,978;-0,023;0,904
"*date_1947-05-12";-39,129;-32,147;312,964;-25,633
"*date_1950-06-06";-2,39;2,059;1,818;-1,616
"*pers_Pleven-René";-37,487;93,084;-21,683;0,564
"*pers_Snyder-John-Wesley";-12,232;-9,574;-7,236;95,412
"*pers_Bonnefous-Edouard";-3,272;-1,316;-2,675;23,117
"*pers_Tomlinson-William-Mahon";2,378;-2,988;-3,362;4,335
"*pers_Hubert-Lucien-Louis-Théodore";-4,736;-2,739;-1,702;29,307
"*date_1953-02-19";-1,087;0,038;-0,889;3,408
"*location_ottawa";-2,985;7,521;3,901;-9,763
"*pers_Caffery-Jefferson";-10,79;-8,125;-6,147;82,197
"*pers_Daum-Léon";-0,815;-0,043;0,022;1,068
"*date_1952-04-10";-0,015;1,065;-1,44;0,05
"*date_1953-02-10";-1,087;2,181;-0,889;0,21
"*pers_Wehrer-Albert";-3,053;-2,167;-3,429;28,217
"*location_strasbourg";9,519;25,517;-22,062;-16,02
"*location_italie";5,985;-7,825;21,053;-17,587
"*location_berlin";2,221;18,092;-6,56;-12,962
"*pers_Uri-Pierre-Emmanuel";0,79;-6,11;-9,942;24,098
"*pers_MacChesney-Alfred-Brunson";-8,315;-5,693;-4,319;59,816
"*date_1951-12-12";-0,724;-0,79;-0,592;6,968
"*date_1952-07-18";5,32;0,336;-2,376;-2,309
"*pers_Pinay-Antoine";-0,001;-0,406;-8,986;14,047
"*date_1952-01-25";0,493;-3,171;-0,486;3,551
"*location_chine";0;7,087;-4,522;-0,563
"*pers_Etzel-Franz";-0,815;-0,043;0,022;1,068
"*pers_Thibodeaux-Ben.-H.";-2,542;-2,773;-2,078;24,456
"*location_tunisie";-2,728;-3,111;-0,016;14,331
"*pers_Quaroni-Pietro";-1,927;-0,959;-5,076;23,06
"*pers_Louvel-Jean-Marie";13,603;-40,318;-9,649;37,055
"*date_1952-10-2";-0,111;-1,978;0,84;0,904
"*pers_Willner-Sydney-H";39,741;-7,772;-5,394;-1,769
"*pers_Suetens-Max";6,122;-6,772;-5,076;6,057
"*date_1950-06-14";-2,225;0,228;-5,377;11,582
"*pers_Coppé-Albert";-1,087;2,181;-0,889;0,21
"*location_angleterre";-7,598;61,382;-10,249;-5,402
"*pers_Durand-André-Gaston";-2,728;-3,111;-0,016;14,331
"*date_1950-09-22";-7,598;61,382;-10,249;-5,402
"*location_corée";-32,441;233,077;-27,787;-26,624
"*date_1953-01-06";14,561;-1,364;-4,173;-0,525
"*date_1952-07-9";0;7,087;-4,522;-0,563
"*pers_Atlee-Clement";-2,225;0,228;-5,377;11,582
"*pers_Brunet-Jean-Pierre";15,297;-3,171;-2,376;-0,447
"*pers_Cripps-Sir-Stafford";-14,042;1,399;0,016;6,587
"*pers_Chauvel-Jean-Michel-Henri";-4,003;-4,367;-3,273;38,516
"*date_1952-07-01";39,741;-7,772;-5,394;-1,769
"*date_1951-12-28";-3,415;0,675;-0,977;4,275
"*date_1953-05-9";-0,013;5,341;-4,117;-0,111
"*pers_Desjeunes-Suzanne";21,572;-7,803;-0,959;-0,843
"*location_la-havane";0,712;-40,648;180,395;-56,79
"*date_1951-12-22";-9,99;13,92;7,265;-11,56
"*pers_Bourgès-Manoury-Maurice";-11,193;6,742;3,957;-1,601
"*pers_Henle-Guenter";39,741;-7,772;-5,394;-1,769
"*location_indochine";-11,509;9,112;1,293;-0,662
"*pers_Churchill-Sir-Winston-Leonard-Spencer";-10,283;14,646;-0,654;0,006
"*date_1948-06-25";-0,748;-13,008;54,279;-6,797
"*location_france";-21,224;74,204;62,621;-153,944
"*pers_Pelou-Maurice";0,141;-2,375;-1,78;6,828
"*location_luxembourg";19,292;-58,342;43,228;-9,14
"*location_lorraine";-1,998;-0,174;-5,081;17,83
"*pers_Clappier-Bernard";-22,571;52,646;-19,106;2,548
"*date_1952-07-10";-1,087;-1,186;-0,889;10,458
"*pers_Schuman-Robert";-0,801;6,282;-89,681;60,578
"*date_1950-09-16";-3,303;26,287;-9,636;-0,24
"*date_1950-09-14";-1,732;6,815;-0,135;-1,117
"*date_1950-09-18";-11,529;79,707;-5,054;-14,363
"*pers_Spaak-Paul-Henri";-1,961;0,008;-1,984;7,882
"*pers_Charpentier-Pierre-Albert";6,122;-6,772;-5,076;6,057
"*location_danemark";-0,013;5,341;-4,117;-0,111
"*location_maroc";-9,99;13,92;7,265;-11,56
"*pers_Ely-Paul-Henry-Romuald";0,493;-3,171;-0,486;3,551
"*pers_Acheson-Dean";-2,434;27,262;-6,502;-2,025
"*location_quai-d-orsay";-0,013;5,341;-4,117;-0,111
"*location_europe";-41,39;182,861;19,604;-150,46
"*location_bruxelles";-8,938;31,86;0,579;-13,701
"*pers_Guindey-Guillaume";-12,596;-9,942;-7,512;98,756
"*pers_Erhard-Ludwig";16,034;-7,575;-13,3;5,787
"*date_1952-10-17";0,957;-2,773;-2,078;4,914
"*location_inde";19,96;-4,767;-3,573;-0,223
"*location_afrique";-0,013;5,341;-4,117;-0,111
"*date_1950-11-13";-1,998;-0,174;-5,081;17,83
"*location_la-haye";36,837;-6,843;-8,079;-0,552
"*date_1950-11-10";-1,087;-1,186;0,188;3,408
"*date_1950-11-17";-3,025;-2,447;0,512;7,929
"*date_1949-05-17";-1,087;-1,186;-0,889;10,458
"*pers_Henckes-J.B.";-3,272;-3,569;-2,675;31,478
"*pers_Jouhaux-Léon";-14,042;1,399;0,016;6,587
"*location_new-york";-11,876;154,147;-30,639;-17,604
"*pers_Parodi-Alexandre";-15,884;82,975;-13,594;-3,647
"*pers_Harvey-Oliver-Charles";-10,283;14,646;-0,654;0,006
"*pers_Hallstein-Walter";10,009;6,013;-54,887;2,129
"*pers_Bowie-Robert-Richardson";8,951;-4,136;-11,196;5,755
"*pers_Denis-Pierre";-11,116;-8,094;-1,1;58,842
"*pers_Strang-Sir-William";-2,225;0,228;-5,377;11,582
"*pers_Queuille-Henri";-4,144;-9,598;26,546;0,101
"*pers_Petsche-Maurice";-0,346;-16,142;-5,454;53,64
"*location_washington";-45,473;43,392;-29,512;30,278
"*date_1953-01-7";0,071;-1,186;-0,889;3,408
"*pers_Henry-Pierre";-3,272;-1,316;-2,675;23,117
"*pers_Hayter-Sir-William-Goodenough";-1,826;9,652;-1,384;-0,55
"*pers_Teitgen-Pierre-Henri";-4,003;-4,367;-3,273;38,516
"*pers_Mayer-René";-26,453;-0,2;9,07;8,428
"*pers_Poher-Alain-Emile-Louis-Marie";6,122;-6,772;-5,076;6,057
"*pers_Harriman-William-Averell";1,355;-1,936;1,787;-1,159
"*date_1953-04-27";2,478;-1,186;-0,889;0,21
"*location_gênes";-0,013;5,341;-4,117;-0,111
"*location_pentagone";-1,019;30,505;-9,636;-3,15
"*date_1948-05-7";-3,763;-4,249;-0,261;23,06
"*date_1950-05-01";-18,987;60,059;0,015;-15,084
"*location_royaume-uni";-14,917;109,5;-16,7;-9,633
"*pers_Finnet-Paul-C.E.";12,222;-5,167;-3,873;0,539
"*date_1950-05-07";0,355;4,675;-4,473;-0,705
"*date_1951-03-9";26,829;-3,689;-6,284;-0,791
"*location_suède";-0,013;5,341;-4,117;-0,111
"*pers_Regan";-1,087;-1,186;-0,889;10,458
"*pers_Watts-Philip-H.";-8,315;-5,693;-4,319;59,816
"*pers_Hirsch-Etienne";-2,348;-4,6;-1,689;27,617
"*pers_Bidault-Georges";-7,615;-7,902;29,853;0,212
"*date_1951-03-10";9,727;-3,968;-2,974;0,342
"*pers_Eden-Anthony";-0,605;10,443;-4,848;-0,204
"*location_amérique";-28,285;116,09;-0,325;-29,581
"*date_1951-03-19";-0,724;0,465;-0,592;0,885
"*date_1949-04-09";-3,162;-8,384;34,357;-0,791
"*location_californie";-14,042;1,399;0,016;6,587
"*location_allemagne";3,184;20,338;0,083;-49,852
"*pers_Mayer-Daniel";-1,087;-1,186;-0,889;10,458
"*date_1951-05-08";1,879;0,011;-5,076;0,498
"*pers_Aubrun-Jules";-5,359;-2,265;-1,202;26,923
"*date_1950-08-15";-3,272;-1,316;-2,675;23,117
"*date_1950-08-14";27,482;3,895;-14,898;-14,476
"*date_1952-12-01";0,071;-1,186;-0,889;3,408
"*date_1951-09-25";7,799;-0,558;-1,185;-1,117
"*pers_Bonnet-Henri";-26,081;-3,613;-4,961;94,439
"*pers_Buron-Robert-Albert-Gaston";-0,581;-16,969;-4,319;54,156
"*pers_Ségalat-André";0,213;-3,569;-2,675;10,259
"*pers_Faure-Edgar-Jean";-1,253;-12,357;-0,033;26,745
"*location_suisse";-0,013;5,341;-4,117;-0,111
"*location_etats-unis";-15,496;53,959;-7,865;-0,891
"*pers_Herter-Christian-Archibald";-12,232;-9,574;-7,236;95,412
"*pers_Moch-Jules";-1,087;-1,186;-0,889;10,458
"*location_dakar";-0,013;5,341;-4,117;-0,111
"*pers_Aron-Alexis";1,024;-10,586;-2,229;15,612
"*pers_Hoffmann-Johannes";26,829;-3,689;-6,284;-0,791
"*pers_Couve-de-Murville-Jacques-Maurice";-15,884;82,975;-13,594;-3,647
"*pers_Giacchero-Enzo";-0,815;-0,043;0,022;1,068
"*pers_Le-Vert-Paul-Maurice";20,26;-0,012;-12,695;-1,134
"*pers_Monnet-Jean";-3,443;0,564;-72,289;94,578
"*pers_De-Gasperi-Alcide";0;7,087;-4,522;-0,563
